=== 2026-09-17 필터 통계 ===
  수집               578건
  중복 제거            4건
  지역 제외            298건
  상태 제외            0건
  고용형태 제외          48건
  경력구분 제외          50건
  제외어              3건
  키워드 미매칭          1건
  트랙A 매칭           0건
  트랙B 매칭           1건
----------------------------------------
[KRID][경기도] 용인도시공사 | 2026년 제3회 청년 체험형 인턴 공개채용 공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 인턴
[KRID][경기도] 경기주택도시공사 | 2026년 하반기 경기주택도시공사 장애인 청년인턴사원 공개채용 공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 청년인턴
[MOEF][서울,부산,인천] 그랜드코리아레저(주) | 2026년 2차 GKL(그랜드코리아레저) 청년인턴 채용 | 이용.숙박.여행.오락.스포츠 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][세종] 한국보건사회연구원 | 한국보건사회연구원 계약직 채용 공고(보건의료정책분야 및 인사분야) | 사업관리,경영.회계.사무,연구 | 신입 | 비정규직 | 지역외: 세종
[MOEF][울산] 한국에너지공단 | 한국에너지공단 신입직원(채용형 인턴) 채용 공고 | 경영.회계.사무,법률.경찰.소방.교도.국방,건설,기계,전기.전자,정보통신,환경.에너지.안전 | 신입 | 청년인턴(채용형) | 지역외: 울산
[MOEF][충북] 한국교육개발원 | 2026년도 제5차 위촉직 채용 공고 | 사업관리,경영.회계.사무,교육.자연.사회과학,연구 | 신입 | 비정규직 | 지역외: 충북
[MOEF][강원] 국립공원공단 | [국립공원연구원] 국립공원연구원 기간제(한시인력, 사무행정) 직원 채용 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][부산] 동남권원자력의학원 | 2026년 제2차 동남권원자력의학원 직원채용 공고 | 경영.회계.사무,보건.의료,전기.전자,연구 | 신입+경력 | 정규직,무기계약직,비정규직 | 지역외: 부산
[MOEF][강원] 건강보험심사평가원 | 2026년 건강보험심사평가원 촉탁변호사 채용 공고 | 법률.경찰.소방.교도.국방 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][부산] 부산대학교병원 | 계약직(연구직,보건직,원무직) 공개채용 모집 공고 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 부산
[MOEF][부산,경남] 국립공원공단 | [금정산] 2026년 한시인력(환경관리) 채용 공고 | 경비.청소 | 신입+경력 | 비정규직 | 지역외: 부산,경남
