=== 2026-09-18 필터 통계 ===
  수집               543건
  중복 제거            2건
  지역 제외            288건
  상태 제외            0건
  고용형태 제외          62건
  경력구분 제외          44건
  제외어              1건
  키워드 미매칭          0건
  링크없음 제외          0건
  트랙A 매칭           1건
  트랙B 매칭           0건
  트랙C 매칭           0건
----------------------------------------
[MOEF][경북] 국립공원공단 | [경주] 2026년 경주국립공원 기간제(분묘조사) 직원 채용 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 경북
[MOEF][해외] 한전KDN | 한전KDN 국외 마이크로인버터 사업 업무지원 분야 기간제근로자 채용공고 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 해외
[MOEF][서울,부산,대구] 한국국토정보공사 | 2026년 한국국토정보공사 신입사원 채용 공고 | 경영.회계.사무,건설 | 신입 | 청년인턴(채용형) | 고용형태 제외: 청년인턴(채용형)
[MOEF][전남광주] 한전KDN | 한전KDN 국내 태양광발전소 구축 업무지원 분야 기간제근로자 채용공고 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][서울] (주)강원랜드 | (주)강원랜드 2026년 하이원 글로벌 아카데미 체험형인턴 모집 공고 | 이용.숙박.여행.오락.스포츠 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][부산,대전,강원] (주)강원랜드 | (주)강원랜드 2026년 동계 1차 기간제 근로자 모집 공고 | 경영.회계.사무,보건.의료,경비.청소,이용.숙박.여행.오락.스포츠,음식서비스,농림어업 | 신입 | 비정규직 | 지역외: 부산,대전,강원
[MOEF][서울,부산,대구] 공무원연금공단 | 사회형평적 체험형 청년인턴 채용 공고 | 사업관리,경영.회계.사무 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][충북] 한국식품안전관리인증원 | 2026년 제13차 계약직직원 채용 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 충북
[MOEF][서울,부산,대구] 대한무역투자진흥공사 | 2026년 KOTRA 통상직 신입사원 채용 공고 | 경영.회계.사무 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][대구,경북] 한전KDN | 한전KDN(주) 대구본부 포항지사 AMI분야 작업원 모집공고 | 전기.전자,정보통신 | 신입+경력 | 비정규직 | 지역외: 대구,경북
[MOEF][경남] 학교법인한국폴리텍 | 한국폴리텍대학 창원캠퍼스 무기계약직원(조리원) 채용 공고 | 음식서비스 | 신입+경력 | 무기계약직 | 지역외: 경남
[MOEF][경남] 학교법인한국폴리텍 | 한국폴리텍대학 창원캠퍼스 행정지원직(사무직원 휴직 대체인력) 채용 공고 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 경남
[MOEF][경남] 학교법인한국폴리텍 | 한국폴리텍대학 창원캠퍼스 2026년 하반기 업무지원직(식당 단시간근로자) 6차 채용 공고 | 음식서비스 | 신입+경력 | 비정규직 | 지역외: 경남
[MOEF][충남] 국립중앙의료원 | 계약직 연구원-휴직대체(충남응급의료지원센터) 채용 재공고 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][강원] 국립공원공단 | [설악산] 설악산국립공원 기간제 직원[환경관리(한시인력), 탐방로예약제(한시인력)] 채용  | 경비.청소,이용.숙박.여행.오락.스포츠,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][전북] 국립공원공단 | [덕유산] 덕유산국립공원 가을성수기 한시인력(환경관리) 직원 채용 공고 | 경비.청소,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전북
[MOEF][대구] 경북대학교병원 | 2026년 9월 제3차 임시직원 모집 공고(원무지원(기계설비), 의공직, 행정, 간호조무, | 보건.의료 | 신입 | 비정규직 | 지역외: 대구
[MOEF][대구] 경북대학교치과병원 | 2026년 제5차 기간제(구강내과 치과위생사) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 대구
[MOEF][전남광주] 한국장애인고용공단 | [한국장애인고용공단 전남지사]2026년 체험형 청년인턴(대체근로자) 채용 | 경영.회계.사무,사회복지.종교 | 신입+경력 | 비정규직,청년인턴(체험형) | 지역외: 전남광주
[MOEF][전북] 국립공원공단 | [새만금환경생태단지관리단] 2026년 4차 한시인력(환경관리) 직원 채용 | 경비.청소 | 신입+경력 | 비정규직 | 지역외: 전북
[MOEF][부산] 한전KPS(주) | 한전KPS(주) 부산사업소 '26년 5차 단기노무원 모집 | 경영.회계.사무,경비.청소 | 신입+경력 | 비정규직 | 지역외: 부산
[MOEF][전남광주] 한전KPS(주) | 한전KPS(주)한빛1사업처 한빛2호기 제28차 O/H공사 단기노무원 채용공고(3차) | 건설,기계 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][대전,세종] 충남대학교병원 | 2026년 하반기 신규의료진(전임의사) 공개채용 모집공고(상시모집) | 보건.의료 | 신입+경력 | 정규직 | 지역외: 대전,세종
[MOEF][대전] 충남대학교병원 | 2026년 하반기 신규의료진(진료교수) 공개채용 모집공고(상시모집) | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 대전
[MOEF][대전] 충남대학교병원 | 2026년 하반기 신규의료진(임상교수요원) 공개채용 모집공고(상시모집) | 보건.의료 | 신입+경력 | 정규직 | 지역외: 대전
[MOEF][경남] 한전KPS(주) | 한전KPS(주) 삼천포사업처 단기노무원(기계 단순보조) 채용(제51차) | 기계 | 신입+경력 | 비정규직 | 지역외: 경남
[MOEF][전북] 국립공원공단 | [지리산전북] 지리산국립공원전북사무소 한시인력(수익시설, 환경관리) 채용 | 경비.청소,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전북
[MOEF][강원] 한전KPS(주) | 한전KPS(주)동해사업소 동해1호기 계획예방정비공사(간이) 단기노무원 채용공고 | 기계,전기.전자,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][강원] 한전KDN | 한전KDN(주) 강원사업처 AMI분야 비정규직(장애인) 모집공고 | 정보통신 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][충남] 한국기술교육대학교 | 한국기술교육대학교 대학혁신지원사업 대우교수 및 연구원 채용 | 사업관리,경영.회계.사무,연구 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][대구] 한국환경공단 | 2026년 한국환경공단 대구경북환경본부 수탁폐수 전자인계인수관리시스템 운영사업 기간제근로자 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 대구
[MOEF][대구,경북] 한국전력공사 | 2026년 제2차 장애인 체험형 인턴 채용공고 [대구본부] | 경영.회계.사무 | 신입 | 청년인턴(체험형) | 지역외: 대구,경북
[MOEF][서울,부산,인천] 그랜드코리아레저(주) | 2026년 2차 GKL(그랜드코리아레저) 청년인턴 채용 | 이용.숙박.여행.오락.스포츠 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][세종] 한국보건사회연구원 | 한국보건사회연구원 계약직 채용 공고(보건의료정책분야 및 인사분야) | 사업관리,경영.회계.사무,연구 | 신입 | 비정규직 | 지역외: 세종
[MOEF][울산] 한국에너지공단 | 한국에너지공단 신입직원(채용형 인턴) 채용 공고 | 경영.회계.사무,법률.경찰.소방.교도.국방,건설,기계,전기.전자,정보통신,환경.에너지.안전 | 신입 | 청년인턴(채용형) | 지역외: 울산
[MOEF][충북] 한국교육개발원 | 2026년도 제5차 위촉직 채용 공고 | 사업관리,경영.회계.사무,교육.자연.사회과학,연구 | 신입 | 비정규직 | 지역외: 충북
[MOEF][강원] 국립공원공단 | [국립공원연구원] 국립공원연구원 기간제(한시인력, 사무행정) 직원 채용 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][부산] 동남권원자력의학원 | 2026년 제2차 동남권원자력의학원 직원채용 공고 | 경영.회계.사무,보건.의료,전기.전자,연구 | 신입+경력 | 정규직,무기계약직,비정규직 | 지역외: 부산
[MOEF][강원] 건강보험심사평가원 | 2026년 건강보험심사평가원 촉탁변호사 채용 공고 | 법률.경찰.소방.교도.국방 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][부산] 부산대학교병원 | 계약직(연구직,보건직,원무직) 공개채용 모집 공고 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 부산
[MOEF][부산,경남] 국립공원공단 | [금정산] 2026년 한시인력(환경관리) 채용 공고 | 경비.청소 | 신입+경력 | 비정규직 | 지역외: 부산,경남
[MOEF][경남] 국립공원공단 | [한려해상] 2026년 한려해상사무소 한시인력(수익시설) 직원 채용 공고 | 이용.숙박.여행.오락.스포츠 | 신입+경력 | 비정규직 | 지역외: 경남
[MOEF][세종] 대외경제정책연구원 | 임시직 연구원급(APEC연구컨소시엄사무국) 및 전문원급(홍보팀, 학술정보팀) 채용 공고 | 경영.회계.사무,연구 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][울산,충북] 한국에너지공단 | 한국에너지공단 전문경력직 채용 공고 | 경영.회계.사무,금융.보험,건설,기계,전기.전자,정보통신,환경.에너지.안전,연구 | 신입+경력 | 정규직 | 지역외: 울산,충북
[MOEF][서울] 중소벤처기업연구원 | 2026년도 중소벤처기업연구원 체험형 청년인턴(보훈제한경쟁) 공개채용 공고 | 경영.회계.사무 | 신입+경력 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][세종] 한국환경연구원 | [한국환경연구원] 임시직(국가기후위기 적응대책 이행강화(총괄 및 적응정책 연구)) 채용공고 | 연구 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][세종] 한국환경연구원 | [한국환경연구원] 임시직(국가기후위기 적응대책 이행강화(국가적응대책 수립 및 주류화 지원) | 연구 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][전남광주] 전남대학교병원 | 2026년 9월 전남대학교병원 직원(지원직) 공개채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 전남광주
[MOEF][대전] 한국수자원공사 | [한국수자원공사] 건설안전처 특수직(사무관리_회계) 채용 공고 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 대전
[MOEF][경기] 근로복지공단 | [안산병원] 공무직(물리작업치료사) 채용 공고 | 보건.의료 | 신입 | 무기계약직 | 경력구분 제외: 신입 단독
[MOEF][서울,부산,대구] 한국철도공사 | 2026년 하반기 한국철도공사 청년 체험형 인턴사원 채용 공고 | 경영.회계.사무,운전.운송,정보통신 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][경기] 근로복지공단 | [안산병원] 공무직(간호조무사) 채용 공고 | 보건.의료 | 신입 | 무기계약직 | 경력구분 제외: 신입 단독
[MOEF][충북] 한국교육과정평가원 | 2026년 제1차 한국교육과정평가원 청사운영직 채용 공고 | 기계 | 신입 | 무기계약직 | 지역외: 충북
[MOEF][경북] 국립공원공단 | [소백산생태탐방원] 2026년 소백산생태탐방원 기간제(한시인력_국립공원지킴이) 채용 공고 | 경비.청소,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 경북
[MOEF][충남] 한국기술교육대학교 | (한국기술교육대학교) 충청남도 지역성장 인재양성체계(앵커) 계약학과 대우교수(산학협력중점) | 교육.자연.사회과학 | 경력 | 비정규직 | 지역외: 충남
[MOEF][경기] 근로복지공단 | [경기요양병원] 의료직(약사) 4급 채용 공고 | 보건.의료 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][강원] 근로복지공단 | [정선병원] 공무직(야간접수수납원) 채용 공고 | 보건.의료 | 신입 | 무기계약직 | 지역외: 강원
[MOEF][강원] 근로복지공단 | [정선병원] 공무직(임상병리사) 채용 공고 | 보건.의료 | 신입 | 무기계약직 | 지역외: 강원
[MOEF][경남] 근로복지공단 | [창원병원] 기간제(산업위생사) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 경남
[MOEF][세종] 한국청소년정책연구원 | [채용공고 2026-11호] 휴직 대체인력 채용 공고 | 경영.회계.사무,정보통신 | 신입 | 비정규직 | 지역외: 세종
